"DATE","TIME PERIOD","HICP - Hearing aids (ICP.A.FR.N.061320.4.INW)"
"1996-12-31","1996","0.00"
"1997-12-31","1997","0.00"
"1998-12-31","1998","0.00"
"1999-12-31","1999","0.00"
"2000-12-31","2000","0.00"
"2001-12-31","2001","0.00"
"2002-12-31","2002","0.00"
"2003-12-31","2003","0.00"
"2004-12-31","2004","0.00"
"2005-12-31","2005","0.00"
"2006-12-31","2006","0.00"
"2007-12-31","2007","0.00"
"2008-12-31","2008","0.00"
"2009-12-31","2009","0.00"
"2010-12-31","2010","0.00"
"2011-12-31","2011","0.00"
"2012-12-31","2012","0.00"
"2013-12-31","2013","0.00"
"2014-12-31","2014","0.00"
"2015-12-31","2015","0.00"
"2016-12-31","2016","0.70"
"2017-12-31","2017","0.76"
"2018-12-31","2018","0.79"
"2019-12-31","2019","0.81"
"2020-12-31","2020","0.80"
"2021-12-31","2021","0.78"
"2022-12-31","2022","0.78"
"2023-12-31","2023","1.16"
"2024-12-31","2024","1.25"
