"DATE","TIME PERIOD","HICP - Overall index (ICP.A.FR.N.000000.4.AVR)"
"1991-12-31","1991","3.4"
"1992-12-31","1992","2.4"
"1993-12-31","1993","2.2"
"1994-12-31","1994","1.7"
"1995-12-31","1995","1.8"
"1996-12-31","1996","2.1"
"1997-12-31","1997","1.3"
"1998-12-31","1998","0.7"
"1999-12-31","1999","0.6"
"2000-12-31","2000","1.8"
"2001-12-31","2001","1.8"
"2002-12-31","2002","1.9"
"2003-12-31","2003","2.2"
"2004-12-31","2004","2.3"
"2005-12-31","2005","1.9"
"2006-12-31","2006","1.9"
"2007-12-31","2007","1.6"
"2008-12-31","2008","3.2"
"2009-12-31","2009","0.1"
"2010-12-31","2010","1.7"
"2011-12-31","2011","2.3"
"2012-12-31","2012","2.2"
"2013-12-31","2013","1.0"
"2014-12-31","2014","0.6"
"2015-12-31","2015","0.1"
"2016-12-31","2016","0.3"
"2017-12-31","2017","1.2"
"2018-12-31","2018","2.1"
"2019-12-31","2019","1.3"
"2020-12-31","2020","0.5"
"2021-12-31","2021","2.1"
"2022-12-31","2022","5.9"
"2023-12-31","2023","5.7"
